game_date,team_home,team_away,most_common_total_line,average_total_line,most_common_moneyline_home,average_moneyline_home,most_common_moneyline_away,average_moneyline_away,most_common_spread_home,average_spread_home,most_common_spread_away,average_spread_away,average_total_over_money,average_total_under_money,most_common_total_over_money,most_common_total_under_money
2025-12-29 00:00:00+01:00,Washington Wizards,Memphis Grizzlies,241.4999,232.2307,-234.9999,-202.9999,290.0001,245.1539,-7.4999,-6.2307,7.5001,6.2309,2.1281,2.0592,2.1000,2.1000
2025-12-29 00:00:00+01:00,Portland Trail Blazers,Boston Celtics,231.4999,223.0384,-209.9999,-175.3076,250.0001,211.3847,-6.4999,-5.423,6.5001,5.4232,2.1278,2.0428,2.1000,2.1000
2025-12-28 21:30:00+01:00,Oklahoma City Thunder,Philadelphia 76ers,226.4999,217.7307,775.0001,710.7439,-599.9999,-492.9999,14.5001,11.9232,-14.4999,-11.923,2.1127,2.0702,2.1000,2.1000
2025-12-28 21:30:00+01:00,Toronto Raptors,Golden State Warriors,227.4999,218.2691,-153.9999,-107.7692,180.0001,123.967,-4.4999,-2.8461,4.5001,2.8462,2.1181,2.0458,2.1200,2.1000
2025-12-28 02:00:00+01:00,Houston Rockets,Cleveland Cavaliers,231.9999,223.1537,135.0001,88.487,-109.9999,-76.3076,2.5001,1.4616,-2.4999,-1.4615,2.0973,2.0238,2.1500,2.0500
2025-12-28 02:00:00+01:00,Chicago Bulls,Milwaukee Bucks,233.9999,225.1153,130.0001,91.2662,-114.9999,-78.4615,2.5001,1.8078,-2.4999,-1.8076,2.0724,2.0898,2.1000,2.1000
2025-12-28 02:00:00+01:00,San Antonio Spurs,Utah Jazz,243.9999,244.0384,725.0001,521.2562,-549.9999,-383.4615,14.0001,9.5385,-13.9999,-9.5384,2.0717,2.0822,2.1000,2.1000
2025-12-28 02:00:00+01:00,Minnesota Timberwolves,Brooklyn Nets,224.4999,215.923,650.0001,446.0185,-475.9999,-336.9999,12.0001,8.0001,-11.9999,-7.9999,2.0663,2.0860,2.1000,2.1000
2025-12-28 02:00:00+01:00,Miami Heat,Indiana Pacers,233.9999,223.6537,250.0001,173.0939,-219.9999,-146.6922,6.5001,4.4231,-6.4999,-4.423,2.1089,2.0486,2.1000,2.1000
2025-12-28 02:00:00+01:00,Atlanta Hawks,New York Knicks,244.4999,244.2307,-179.9999,-125.5384,215.0001,150.7093,-5.9999,-3.7692,6.0001,3.7693,2.0696,2.0598,2.1000,2.1000
